gender,height_cm,weight_kg,body fat_%,diastolic,systolic,gripForce,sit and bend forward_cm,sit-ups counts,broad jump_cm,class,name,address,city,state,email,birthdate,phone#
M,177.8,92.48,24.141679,85.5,150.3,39.32,13.95,42.3,199.5,A,Gary Wilson,3138 Bailey Heights Suite 415,Scottshire, VI 41491,ntaylor@gmail.com,2002-08-02,(711)335-6748
M,166.2,58.78,22.340968,81.4,131.4,37.58,17.47,25.9,185.8,D,Daniel King,357 Bennett Tunnel,Cassandramouth, WY 00956,kendralynch@gmail.com,1994-05-05,001-746-830-4104
M,174.5,84.75,25.562843,84.7,154.0,50.46,3.15,58.9,221.7,B,John Johnson,91217 Henderson Corners,Simmonstown, HI 23357,ztodd@hotmail.com,1988-07-01,890-348-8461
M,164.7,58.97,31.679521,82.7,126.5,38.66,16.31,46.1,190.0,A,Justin Bailey,328 Pamela Squares Apt. 754,East Daisy, ND 19667,gregorylopez@yahoo.com,2002-10-19,8804813963
M,176.4,70.93,22.762064,73.4,99.8,33.84,12.12,32.0,184.0,A,Cameron Turner,544 Rodriguez Drive Apt. 806,Port Valeriebury, ID 84739,fthompson@gmail.com,2002-05-26,230-961-6458
M,164.2,69.63,24.091414,81.0,146.8,34.62,13.24,54.5,197.8,A,Brian Yates,447 Jonathan Garden Suite 259,Carsonport, NC 54568,josephemily@hotmail.com,1990-01-09,744-851-4662
F,167.8,64.85,16.760242,72.3,150.0,35.31,26.73,45.0,171.5,B,Sheila Arnold,843 Andre Lights,Port Michelle, CA 28164,omaredwards@gmail.com,1983-06-03,001-965-877-4341
M,181.8,90.54,12.564683,107.4,154.2,55.04,24.71,58.5,207.1,C,Brent Sanchez,0171 Joseph Heights,Drakeshire, DE 95859,wrightsydney@hotmail.com,1973-06-30,001-970-536-3539
F,157.1,53.21,25.597738,76.3,115.6,28.53,40.23,33.5,173.0,C,Samantha Rojas,USNS Proctor,FPO AE 29526,-,mgolden@yahoo.com,1963-09-29,(443)650-5174
M,163.7,66.69,23.19044,97.7,138.2,27.96,15.66,41.5,208.5,B,Charles Francis,23366 Johnny Ridge,East Carolyn, WI 88430,arnoldandrew@yahoo.com,1974-09-17,001-356-881-1341
F,170.4,67.28,23.539046,61.7,107.2,35.9,13.92,34.6,186.1,A,Teresa Richardson,58422 Tammy Mountain,Jeffreyhaven, MO 80827,sarahcarter@yahoo.com,1980-04-16,+1-651-812-5793
M,178.1,74.69,19.800809,59.1,116.1,49.73,5.23,41.1,210.2,A,Benjamin Martinez,5043 Anthony Square,Lake Donnaside, AS 30545,donald74@yahoo.com,2001-03-27,827-450-7322
M,185.4,105.54,20.875192,82.4,137.3,57.3,16.9,51.7,235.3,D,Zachary Rollins,5557 Brenda Meadows Suite 877,Heathertown, AL 20759,nmoon@gmail.com,1988-02-29,(922)286-1688
M,164.3,53.7,18.466258,60.9,106.8,35.84,29.03,47.6,216.9,C,Steven Gutierrez,173 Christopher View Suite 715,Ramosville, MN 84956,melindamejia@gmail.com,2000-12-02,001-471-915-6227
F,164.9,66.58,32.361353,81.5,126.6,32.07,16.85,34.0,149.3,C,Mary Moran,3338 Michael Trail Suite 442,Sanchezville, MO 10007,olsonthomas@hotmail.com,2002-08-04,001-413-710-0457
M,176.0,77.49,24.470155,86.9,114.6,41.43,-0.24,35.6,213.1,D,Jacob Gates DDS,205 Jonathan Fork Apt. 975,Amandaborough, SC 84418,debragreen@hotmail.com,1981-09-13,8276709539
M,166.4,69.43,21.025869,64.9,133.8,34.64,12.24,53.9,210.5,B,Adrian Williams,2552 Jenna Stravenue Suite 487,North Ann, MA 14385,ricky75@yahoo.com,1981-11-22,001-413-268-4158
M,162.4,57.5,25.672466,75.6,141.3,29.7,-2.09,33.9,180.9,D,David Sanders,567 Matthew Lake,East Denisetown, WV 25911,shannonchoi@yahoo.com,1994-12-08,(590)451-6586
M,159.3,72.03,34.599089,81.0,162.9,30.79,16.15,21.5,134.4,B,Robert Lopez,9440 Parker Meadow,East Davidview, IL 57611,rebeccajohnson@gmail.com,1966-04-26,(795)289-1241
F,160.1,61.5,24.552147,70.7,138.0,27.96,20.63,47.2,216.7,D,Melissa Wilson,0672 Rachel Crossing,Lake Kennethmouth, MD 82915,thompsonalexandria@gmail.com,1990-04-28,251-610-5445
F,167.8,57.27,23.364126,78.5,122.5,32.87,20.93,43.1,160.3,B,Michelle Castillo,3878 Torres Coves,East Laura, RI 57816,cindysummers@yahoo.com,1997-11-23,+1-271-631-7978
F,166.9,57.78,33.2411,84.2,130.4,20.03,18.83,8.7,126.0,D,Jessica Martin,35118 Hicks Harbors,North Mark, MO 86522,nicolesmith@gmail.com,1978-02-28,(288)837-1315
F,173.7,67.67,21.960646,81.4,119.5,38.83,21.67,43.2,207.1,A,Tanya Bryant,389 Maldonado Harbor,Brookeville, PW 95156,ipowell@hotmail.com,2001-06-11,307-223-8650
M,171.8,75.94,24.158433,86.3,171.7,43.16,14.38,23.7,201.9,A,William Sutton,3771 Olivia Squares,Douglasbury, OK 77459,timothytaylor@hotmail.com,1975-07-26,437-973-8706
F,143.0,34.88,36.038853,69.2,91.7,14.64,28.11,41.6,120.4,C,Julia Peterson,047 Baldwin Light,Ronaldtown, GU 35819,curtisgreen@yahoo.com,1986-01-23,(613)754-3000
F,153.3,57.7,33.0364,83.0,132.4,19.95,30.5,26.8,131.9,C,Elaine Kelly,3555 Christine View Apt. 473,Lake Glenn, MD 41923,ldavis@hotmail.com,1987-12-11,+1-235-836-4455
F,144.6,38.8,38.234626,76.4,106.0,2.68,12.75,9.6,66.5,A,Leslie Noble,USS Miller,FPO AE 44963,-,mark64@hotmail.com,2002-05-08,956-541-9529
M,158.9,56.87,24.614752,78.9,120.2,21.77,20.49,44.4,164.3,A,Lee Carney,97953 Mark Circle Apt. 777,New Kimberly, MD 17124,marcusrivers@gmail.com,1998-05-16,001-699-782-8477
M,181.8,70.11,9.931999,74.9,109.3,37.31,11.54,55.3,231.4,C,Edgar Mitchell,145 Gina Cliff Suite 975,Katherineville, FL 15706,clarkjasmine@hotmail.com,2002-01-27,216-605-1279
F,162.1,65.5,32.629392,90.0,148.4,24.61,12.57,2.9,114.2,B,Karen Hernandez,84921 Ronald Keys Apt. 591,West Tanya, WI 04331,fmccarthy@yahoo.com,1961-09-01,(854)357-1971
F,163.6,56.77,17.523394,82.2,146.3,34.24,12.71,47.8,208.5,B,Tammy Perkins,6787 Paul Inlet,Lake Shannonbury, AS 44249,bentleysteven@gmail.com,1982-06-12,866-620-1141
F,166.4,75.46,32.771881,71.4,124.1,29.04,23.15,40.1,164.6,B,Crystal Murphy,903 Brown Landing Apt. 338,Lake Kathrynview, KS 86444,cjimenez@yahoo.com,1993-12-25,294-863-2498
F,156.8,51.61,27.745126,86.1,140.7,17.77,22.41,17.7,114.3,D,Jessica Perkins,390 Ernest Plains,North Dustin, ME 61393,qhernandez@gmail.com,1983-11-07,+1-708-615-0294
M,163.8,49.99,13.003732,86.6,155.0,43.71,25.17,47.1,199.4,C,Gregory Williams,971 Dana Spur,East Michael, MI 16747,stephen10@hotmail.com,1991-11-22,343-203-2036
M,183.7,97.69,19.850251,72.8,135.7,53.71,13.76,51.2,219.0,A,Scott Lopez,981 Delgado Harbors,Emilyborough, SC 20098,maurice19@gmail.com,1992-08-15,447-985-9579
F,172.4,70.17,21.488099,61.7,121.2,37.83,18.23,30.8,174.1,D,Lisa Clark,56763 Lopez Crescent Apt. 067,Williammouth, NH 78105,victoriahuerta@hotmail.com,1960-02-07,+1-723-565-7124
M,172.8,74.88,19.171911,85.0,143.5,47.83,6.09,39.2,208.0,B,Paul Anderson,073 Smith Centers Apt. 915,South Vincent, OH 32447,ywhite@gmail.com,1966-06-04,+1-374-555-1929
F,155.1,57.6,28.9454,58.4,120.5,25.82,12.44,4.6,138.4,D,Terri Williams,"PSC 2664, Box 8370",APO AE 05229,-,kellyjanet@yahoo.com,1987-09-14,(436)971-1935
F,161.7,58.21,28.666163,78.0,122.0,22.77,20.48,30.9,166.3,B,Shelly Mathis,893 Gloria Mall Suite 263,Coreyville, HI 68247,vshepherd@yahoo.com,1993-03-09,456-376-7768
M,169.2,87.31,36.139358,75.4,116.0,38.07,3.52,33.7,183.9,D,Christopher Harmon,7912 Allen Summit,New Nicoleville, MA 06621,jacqueline46@gmail.com,2001-10-31,001-717-594-1450
M,166.7,64.83,19.674677,72.1,120.8,33.38,20.63,30.5,192.8,B,Brandon Duran,31247 Lee Squares,Lake Kimberlyton, OK 48258,david19@hotmail.com,2000-10-30,(741)915-2044
F,169.1,54.48,16.765203,58.1,94.6,38.65,18.07,29.1,225.0,C,Jessica Perry,15793 Dylan Rue,Rickychester, HI 52072,brittanyweeks@gmail.com,1978-07-11,001-788-900-3780
F,177.3,67.01,15.269918,89.2,115.4,48.39,6.09,57.5,199.7,A,Tiffany Jackson,922 Shirley Drive Suite 164,Port Linda, MH 84169,javierpage@hotmail.com,2000-04-20,(820)342-8441
F,162.7,58.01,26.117724,70.4,110.9,26.27,9.31,40.3,158.9,C,Susan Thompson,65544 Rachael Squares,Vincenttown, NH 19694,sandra92@gmail.com,1999-08-12,4814644567
M,160.6,61.14,26.292547,80.4,115.7,33.44,29.32,42.3,193.0,C,Tony Gallagher,7432 Ryan Mountain,East Darrylton, UT 86150,carol15@hotmail.com,1975-08-17,001-911-405-1657
F,166.9,73.96,26.473784,82.2,141.9,35.26,14.88,29.8,184.9,B,Jessica Pena,7479 Anderson Estates Apt. 422,New Jenniferburgh, PR 42223,jennifer95@hotmail.com,1960-11-10,001-300-590-3925
F,155.8,49.62,22.594445,73.4,113.9,35.23,25.12,33.5,174.4,C,Alexis Morgan,735 Walker Curve Apt. 638,Matthewsstad, MH 70496,jamesmclean@yahoo.com,1964-07-19,4945779616
M,177.6,65.6,14.746426,69.0,118.7,42.34,0.44,49.2,237.0,A,John Mcneil,50974 Horne Viaduct Apt. 047,New Donald, AK 97376,annettelopez@yahoo.com,1983-02-16,421-863-7556
F,154.7,62.35,28.562476,73.2,122.4,24.18,8.42,31.1,168.1,D,Mariah Patel,646 Jennifer Cape,Harrellborough, SD 80480,nicholas72@yahoo.com,1975-06-29,841-539-3916
F,159.1,62.11,37.354294,89.9,160.2,16.77,5.56,39.8,163.2,D,Kristine Strong DDS,97893 Garcia Courts,New Andreafort, RI 18606,daughertytiffany@hotmail.com,2000-06-07,2294024799
F,169.7,75.51,24.330867,64.3,89.3,38.34,28.77,48.3,220.9,C,Stacey Graham,46238 Erik Field Apt. 181,East Cindy, MN 42149,tracy73@yahoo.com,1967-08-16,501-927-0052
M,167.9,60.32,17.286479,68.8,115.5,37.93,10.81,30.7,212.8,D,Miguel Goodwin,898 Griffin Dam,South Michael, OK 20928,mandy92@gmail.com,1991-03-13,640-353-3650
M,163.3,62.1,31.035703,81.2,128.9,33.61,-1.46,32.3,161.0,D,Mark Tate,90695 Andrew Underpass Apt. 147,Lake Calvin, NH 73348,ile@yahoo.com,1971-06-30,527-497-6509
F,170.1,75.0,16.443502,97.8,153.1,49.63,25.29,54.2,245.9,C,Mariah Miller,04700 Schultz Drive,North Tim, KS 12586,james34@yahoo.com,1980-09-22,001-802-706-6638
M,180.2,68.17,27.555283,70.0,120.1,29.02,17.48,35.5,188.6,B,Jeffrey Guerra,836 Evans Terrace Suite 706,North Samanthaport, AR 68489,douglaswilliams@hotmail.com,1982-10-27,427-234-5167
M,182.1,94.56,22.89361,75.3,118.1,51.81,17.36,51.9,242.3,A,Roger Taylor,54361 Collins Ways Suite 771,East Michael, MN 98745,villajonathan@gmail.com,1995-11-16,001-416-722-5600
F,182.7,85.43,18.867126,83.8,159.0,53.61,8.97,36.1,191.5,A,Krystal Roberson,007 Campbell Forks Apt. 433,Baileyhaven, MP 54481,jeremiah40@yahoo.com,1970-01-23,+1-880-992-6959
M,176.7,79.07,22.710515,74.9,143.4,48.65,1.27,42.1,206.1,B,Andrew Ruiz,4841 Long Courts Suite 034,Lake Ellen, IL 34733,xchapman@hotmail.com,1965-12-17,921-460-2515
F,163.7,48.8,31.031377,62.7,104.6,16.04,21.65,14.8,148.7,A,Veronica Mason,179 Melvin Islands Suite 192,Wyattburgh, DC 84934,whitedonna@yahoo.com,1963-11-30,744-429-1177
M,160.0,60.78,37.056901,74.8,122.2,31.42,7.99,46.9,121.3,B,Robert Burns MD,30110 Caldwell Canyon,East Ryan, KS 84516,rhamilton@gmail.com,2000-12-13,+1-630-283-1380
M,180.4,80.42,9.985431,71.4,114.7,54.57,23.55,62.7,267.3,C,Michael Farmer,28259 Jessica Meadows,Andreafort, SC 91750,sandersjulia@hotmail.com,2002-10-15,6484793782
M,159.2,60.9,25.806513,97.8,141.8,29.35,5.12,17.0,149.5,C,Andrew Calderon,7126 Nicole Terrace Suite 751,Hayesburgh, CO 08239,sromero@gmail.com,1961-11-10,001-274-476-7504
M,167.4,69.94,25.729585,63.6,112.8,46.09,15.16,30.9,160.6,B,Mitchell White,442 Susan Corners Apt. 955,South Carlos, UT 40030,isaiahbrady@hotmail.com,2001-06-03,+1-322-660-6266
M,182.6,104.14,16.607946,71.8,134.2,57.55,20.01,69.7,279.2,B,Timothy Smith DVM,7207 Brett Knolls,Lake Taylorview, AR 15094,sarahclark@gmail.com,2002-08-07,+1-232-384-0903
M,157.6,66.87,34.205787,83.2,149.7,26.98,21.04,13.4,176.2,D,Douglas West,061 Alicia Crest Suite 848,Port Barbara, PW 14249,adammann@gmail.com,1975-07-20,+1-740-371-9928
F,158.6,68.24,32.545891,90.0,130.7,29.42,1.65,13.9,84.9,D,Savannah Shaffer,24469 Lisa Spur Suite 504,Tanyamouth, LA 40728,lindsay32@hotmail.com,1991-02-07,940-417-5077
M,176.5,57.83,18.492304,104.8,150.7,28.47,15.17,36.2,186.9,B,Scott Shaw,Unit 0360 Box 7881,DPO AE 96703,-,ahahn@hotmail.com,2002-12-09,247-420-0645
M,158.2,63.39,32.394959,94.4,143.9,39.96,16.87,28.8,121.0,C,Donald Allen,41078 Blevins Brooks,Singhview, CT 57923,anne12@gmail.com,1959-08-23,(391)679-8056
M,165.5,80.62,14.739579,67.9,131.4,43.89,17.06,39.5,214.1,D,Scott Robertson,4934 Murphy Pike,Melissachester, AS 78254,jamesrussell@gmail.com,1960-02-11,(965)851-1194
M,164.1,47.79,15.747003,86.0,130.8,34.37,21.74,46.8,215.2,C,Roberto Patterson,6256 Bobby Garden,Port Anthony, CA 00769,brandy20@hotmail.com,1995-07-03,+1-304-404-3063
M,183.8,82.84,9.615666,90.1,156.4,53.97,5.36,56.8,262.1,B,Daniel Ramos,"PSC 9972, Box 2395",APO AA 42864,-,aaronmyers@gmail.com,2001-12-27,+1-356-988-3320
M,169.5,69.02,15.504285,82.5,127.2,34.38,13.91,58.1,233.7,C,Michael Hart,21052 Katie Shoals,Jenniferberg, VI 56908,charlotteschneider@hotmail.com,2001-06-10,+1-366-528-7701
F,168.5,69.77,24.528307,75.1,129.7,36.57,27.42,56.5,188.8,C,Belinda Rice,1037 Hines Walks,South Jacob, DC 32882,rebeccayoung@hotmail.com,1999-12-29,770-722-4906
F,149.8,51.45,32.40779,81.1,126.9,23.81,24.38,17.4,139.8,D,Lisa Franco DDS,408 Skinner Roads,Raymondport, CT 95277,ebaker@hotmail.com,1960-04-20,940-378-2382
M,180.3,72.71,13.403092,80.6,124.5,36.72,2.91,35.2,192.8,B,Darryl Robinson,788 Lang Mill Suite 249,New David, HI 93969,matthewsamy@gmail.com,1964-10-06,+1-351-744-4862
M,187.5,98.15,24.361284,105.7,135.7,54.93,9.78,51.0,257.2,A,Scott Dunn,509 Edwards Track,New Brian, DE 97910,dickersonlance@yahoo.com,1996-12-26,001-712-957-1237
M,177.4,83.03,30.842854,77.9,123.8,32.45,5.84,21.4,195.1,D,James Sanders,402 Hill Fields,Weaverhaven, WV 44393,ambermason@hotmail.com,1970-06-29,001-550-288-7465
M,168.3,58.62,15.927536,87.0,132.9,44.76,15.99,49.9,225.2,C,Ralph Rivas,7149 Carr Island Suite 859,Priceton, MS 04587,michael55@gmail.com,1998-02-08,+1-339-699-5144
F,160.0,51.49,20.826362,99.3,147.4,32.94,15.93,29.6,182.3,B,Lisa Nichols,901 Thomas Isle,Martinburgh, CA 42476,gregorymendoza@hotmail.com,1970-05-12,348-488-2697
M,182.1,75.05,13.034464,88.7,148.7,48.84,13.64,57.2,262.4,A,Peter Bryan,1497 James Stream,South Jeremyland, CT 86252,stephanietaylor@gmail.com,2001-08-31,+1-587-570-0708
F,171.9,76.41,30.076002,95.3,138.4,48.87,19.33,51.3,208.1,B,Jennifer Stewart,75787 Hinton Parkways,Joshuaport, KS 40306,dorothy80@yahoo.com,1978-07-31,(388)877-8422
M,178.2,85.21,21.971708,102.0,183.4,49.97,6.26,49.8,240.0,D,Donald Thomas,790 Christopher Village,Millershire, WV 90429,washingtonrobin@yahoo.com,2000-12-19,9177295369
F,167.3,50.0,27.544842,84.7,112.7,23.08,26.74,41.8,181.3,C,Brittany Hendrix,69360 Stephen Street,West Kimberlyberg, CO 80703,katherinepugh@yahoo.com,2002-06-19,(969)498-9119
F,154.5,49.46,27.728184,86.9,150.1,32.45,28.62,43.0,170.4,C,Debra Diaz,USNS Thompson,FPO AE 22605,-,rebecca18@yahoo.com,1970-03-27,(413)636-0346
M,178.9,67.17,12.125251,77.1,147.9,36.3,5.18,53.1,210.2,A,Brendan Walker,106 Geoffrey Shoal,Herrerastad, MN 57649,reedlauren@gmail.com,1997-12-05,780-909-5814
M,167.6,74.44,17.407235,95.6,137.5,45.41,-3.4,40.1,194.2,C,Alexander Ross,47143 Melinda Squares,West Vincentstad, NY 67309,lynchadam@gmail.com,1971-07-29,+1-578-243-7093
M,177.6,69.5,20.847535,75.8,104.2,38.73,14.86,50.0,175.5,B,Richard Wang,677 Michael Alley,Sandraville, PA 15510,kellypamela@hotmail.com,1971-12-27,689-992-6659
M,168.0,60.01,20.013805,71.5,123.8,39.72,13.47,36.4,186.0,B,Gregory Coleman,Unit 1258 Box 2385,DPO AP 49805,-,nicoleknight@yahoo.com,1969-09-22,001-741-305-6230
M,185.2,91.25,15.361898,88.0,145.4,52.92,7.76,63.5,270.1,B,Steven Lee,19345 Beck Highway Suite 825,West Roberttown, FL 82916,katherine02@yahoo.com,2002-02-21,9968933347
M,164.7,67.97,16.691929,87.1,118.2,47.26,23.43,47.7,246.2,D,Dennis West,311 Rowe Rapids Apt. 318,West Anthony, ME 03914,codyreid@gmail.com,1984-07-03,327-312-7669
M,172.8,73.29,26.615164,79.3,113.9,37.45,3.61,27.5,170.2,B,Charles Martin,859 Jones Square Suite 569,Craigmouth, WV 15944,charles93@gmail.com,1994-09-12,(435)820-6454
M,168.9,69.92,29.49004,74.9,114.5,39.3,-2.45,33.0,153.9,D,Philip Curtis,Unit 1047 Box 4626,DPO AA 78793,-,patricia99@yahoo.com,1960-07-21,339-211-6957
M,163.3,53.01,22.137499,89.3,128.1,34.28,11.48,48.4,193.8,B,Brandon Munoz,60620 Reynolds Ports,New Jason, AR 63780,stacy65@gmail.com,1996-07-30,587-323-8191
F,157.1,50.63,26.90091,83.4,127.3,23.32,10.31,16.4,117.6,C,Patricia Matthews,7078 Johnson Mills,Heidifort, NM 76191,glasschristina@hotmail.com,1985-11-04,(611)520-0223
M,171.0,71.69,12.149866,78.1,136.2,44.28,18.55,53.6,245.1,A,Michael Rogers,72504 Kerr Motorway,Port Michael, PA 55532,pottermichelle@gmail.com,1995-09-27,(604)977-7937
M,165.8,64.66,14.462463,92.0,154.6,46.32,39.4,52.4,212.5,A,James Miller,4503 Torres Shoal Suite 522,Lake Robertfort, KY 95900,kellyhaas@hotmail.com,2001-04-09,5435769447
F,162.2,60.62,27.47698,70.8,103.9,20.44,23.41,43.4,191.4,D,Heather Saunders,1376 Lopez Brooks Apt. 218,South Dawnshire, MN 62127,elizabeth91@gmail.com,1991-12-09,457-215-7162
M,172.1,59.39,18.070148,98.0,139.5,35.19,9.16,32.7,204.1,D,Joseph Rodriguez DDS,6652 Gray Plaza Apt. 492,New Katrina, AL 54082,curtisrichard@hotmail.com,1976-12-09,495-868-5835
M,169.0,64.1,22.238179,56.9,104.4,44.35,16.85,43.8,224.0,B,Alexander May,30289 Wilson Tunnel Suite 344,Jonathanchester, NC 73398,hrusso@yahoo.com,1995-11-22,+1-558-342-5639
F,156.5,51.99,43.486184,63.9,120.0,6.59,0.18,22.7,100.3,D,Shannon Stevenson,441 Brown Trail,East Anthony, AS 47211,kenneth07@hotmail.com,2001-02-13,+1-706-716-2488
M,167.4,71.13,20.1736,84.4,141.9,45.13,26.85,51.5,248.4,A,Christopher Greene,483 Nguyen Way Suite 319,North Christopherfort, WI 84037,xfrank@gmail.com,1963-03-20,940-736-5672
M,168.3,57.1,13.321592,52.0,113.4,34.63,-2.31,43.1,216.6,B,Matthew Moore,95357 Donald Mountains Suite 188,Jackhaven, DC 58906,orose@yahoo.com,2002-12-30,431-967-0327
M,169.5,63.64,15.104357,87.2,125.3,48.35,17.34,57.2,202.2,B,Zachary Nguyen,Unit 5946 Box 1964,DPO AA 40108,-,hlawrence@hotmail.com,2002-12-17,602-282-5229
F,156.0,52.05,37.610996,88.7,138.8,11.64,21.3,14.8,109.9,A,Angela Anderson,8742 Walker Rapid Suite 554,East Stephaniechester, CO 53304,thompsonallison@hotmail.com,1962-01-02,001-443-702-6159
M,178.3,93.91,17.610573,79.7,147.1,48.92,0.98,48.8,226.2,D,Lance George,36408 Kimberly Mountain Apt. 817,Nicholasfurt, MS 40295,anthony40@hotmail.com,1983-02-08,836-964-9594
F,163.8,56.11,27.562902,74.4,111.8,21.41,4.79,15.4,139.3,B,Brooke Taylor,835 Hunter Village Apt. 879,Smithfort, RI 21720,andrescarr@yahoo.com,1999-12-16,001-658-556-5042
M,153.8,59.26,36.709604,80.0,138.4,31.43,14.25,39.7,157.5,D,Dr. Daniel Anderson,16575 Brianna Rue Suite 353,Susanfort, NY 07559,erinbrown@yahoo.com,1980-11-02,712-281-6604
M,165.8,60.85,21.053885,91.9,125.7,37.95,20.62,44.2,199.0,B,David Schmitt,65240 Mary Ford,Lake Taylorton, MD 10093,wbautista@hotmail.com,2001-06-09,517-779-4361
F,171.5,67.31,39.499836,97.0,131.9,24.89,9.45,11.5,138.2,B,Erika Ross,202 Ibarra Corners Suite 616,Lake Brian, IL 85012,tvazquez@yahoo.com,1974-03-26,001-333-320-4792
M,175.6,59.21,16.791914,72.2,133.1,28.86,9.15,41.4,200.2,A,Marcus Lopez,1818 May Drive Suite 553,North Anthony, ID 02161,markcopeland@yahoo.com,2001-05-29,(448)819-6001
F,167.2,72.65,30.903877,81.5,139.6,41.42,16.03,41.3,193.0,B,Elizabeth Morris,69352 Gray Landing,Elizabethfort, RI 61435,stacey11@yahoo.com,1981-06-23,(373)474-5452
F,159.6,63.86,31.694856,89.2,147.8,34.1,23.71,53.0,175.5,D,Alyssa Kim,7629 Wright Lodge,Carrieberg, DE 46547,ldavidson@hotmail.com,2000-01-25,(467)742-4848
M,175.7,75.38,19.010472,85.3,117.6,40.78,7.23,49.6,197.5,A,Kevin Wang,2738 Walter Villages Apt. 250,East Ronaldhaven, ME 88913,jessicareyes@hotmail.com,2000-07-06,001-948-744-1527
M,170.5,69.71,22.891347,82.4,126.6,37.56,15.37,40.2,194.0,A,Andrew Aguilar,870 Jennifer Cove,Lake Robinborough, LA 63774,stevenbrooks@hotmail.com,1967-06-07,317-429-0376
M,172.1,66.87,17.984767,77.3,131.8,41.58,8.07,18.7,187.5,D,Taylor Griffith,383 Tammy Landing Suite 203,Melissaview, PR 32940,christophergonzalez@gmail.com,1961-10-14,+1-793-836-4291
F,163.7,55.08,28.169783,102.2,156.2,29.43,39.28,40.5,177.4,C,Nicole Hamilton,894 Brooke Corners,Jenniferstad, MH 12276,brianharris@gmail.com,2002-07-26,459-234-4608
M,182.4,82.42,22.862286,82.1,144.3,40.28,9.79,34.5,167.9,A,Roy Callahan DDS,8763 Rodriguez Spur Suite 320,Petersonview, WI 43304,emiller@hotmail.com,1989-06-29,+1-903-704-7994
F,163.5,62.07,20.533167,80.6,148.1,33.95,13.03,31.5,163.5,C,Nancy Esparza,USCGC Hamilton,FPO AE 90030,-,bcollins@yahoo.com,1979-03-09,(346)312-7213
F,161.6,57.87,31.016482,67.0,101.0,19.0,3.15,22.5,139.1,D,Beth Bryant,11619 Kimberly Ridge Apt. 500,Annetteborough, WA 16678,ralexander@hotmail.com,1993-02-11,(303)555-8326
F,163.4,56.95,26.529907,82.9,146.7,20.52,26.77,0.0,137.1,C,Julia Lopez DVM,684 Woods Expressway,Santiagotown, DC 92363,markramos@hotmail.com,1980-06-15,8232655754
M,173.7,70.87,17.652548,67.8,119.4,44.36,18.54,43.4,232.8,B,Jack Parker,6154 Thompson Keys,New Christopherbury, MP 08720,gonzalezbrianna@gmail.com,2002-10-31,+1-246-966-1310
M,169.5,69.55,29.083946,69.0,137.5,31.89,1.36,40.7,197.5,B,Gregory Sellers,84204 Eric Rapids Suite 149,Lake Larry, CA 85617,ngonzales@yahoo.com,1995-01-25,204-929-7917
M,175.8,84.88,27.071413,81.8,129.5,43.37,14.3,45.7,202.7,A,Gregory Curry,142 Daniel Trail,Coxton, IN 04287,ortizmichael@gmail.com,1976-08-03,+1-591-447-8783
M,176.1,69.53,18.085781,81.6,137.4,53.35,24.76,53.8,227.1,B,Zachary Horn,156 Brett Burg,Lake Melissabury, IN 43147,marquezmichael@yahoo.com,1994-08-09,001-972-589-8253
F,162.3,63.57,38.553036,86.4,140.4,16.1,22.07,22.3,154.8,B,Brittany Snyder,9009 Kelly Station Suite 637,Johnshire, AZ 59078,rnguyen@hotmail.com,1995-08-04,8062885899
M,172.2,77.29,31.912535,85.6,148.4,37.86,1.12,25.6,169.8,B,Adam Abbott,057 Kim Run,Bellview, MP 48564,wvasquez@hotmail.com,1991-08-12,918-400-3459
M,180.1,70.4,22.170909,69.3,118.6,47.06,7.42,46.9,211.9,A,Daniel Brown,23621 Blevins Trail Suite 390,Port Paulborough, NM 06303,annaanderson@yahoo.com,1997-12-12,+1-998-254-3233
F,157.0,49.09,14.628921,85.6,161.5,41.09,37.99,63.4,212.0,A,Dawn Calhoun,1319 Holt Haven Apt. 036,Kelseyside, TX 76926,michelle15@hotmail.com,1995-05-15,+1-600-435-1417
M,173.0,82.16,25.944576,92.3,132.0,45.98,13.37,37.0,229.8,A,Jerry Arnold,76572 Becker Ranch,West Nicolefurt, UT 97099,amberosborne@yahoo.com,1994-09-24,001-636-615-5630
F,171.8,71.65,29.525159,92.4,146.7,34.09,0.42,47.1,218.8,B,Michelle Reed,USNS Myers,FPO AP 11927,-,ufry@yahoo.com,1968-11-23,+1-333-646-8358
M,173.7,75.7,16.660883,68.5,118.4,40.51,10.43,56.8,236.3,B,Bryan Wagner,567 Jesus Island Suite 186,Stewartborough, FL 84010,teresamorales@hotmail.com,2000-11-01,(972)653-5340
F,166.7,72.22,27.186329,88.8,132.1,32.47,23.89,22.7,198.8,A,Robin Freeman,39726 Coleman Divide,Sandrachester, VI 37295,michelebrown@gmail.com,1982-09-16,+1-663-339-2134
F,152.1,60.08,28.789058,68.0,122.5,28.27,18.79,30.6,147.0,D,Megan Perez,5310 Dennis Drives,Allenmouth, CT 43790,kristen66@hotmail.com,1963-04-13,(951)480-3218
F,171.8,65.8,29.879225,95.2,128.8,22.16,-0.58,26.9,184.7,D,Yvette Yang,USS Bowen,FPO AP 72391,-,echristensen@yahoo.com,1992-10-01,587-456-4287
M,178.7,52.9,14.724211,65.0,94.9,38.45,8.98,44.3,198.0,A,Christopher Ramirez,1362 Newton Parkway Suite 626,Gonzalesburgh, RI 86677,daniel82@gmail.com,2002-04-01,(615)485-5796
